Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2003","2003","°c","0.822","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2004","2004","°c","1.109","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2005","2005","°c","1.047","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2006","2006","°c","1.23","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2007","2007","°c","1.535","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2008","2008","°c","1.088","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.334","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2010","2010","°c","0.966","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2011","2011","°c","0.789","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2012","2012","°c","0.625","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.072","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.061","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.295","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.318","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.572","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2018","2018","°c","1.36","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.422","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2020","2020","°c","1.62","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.702","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1970","1970","°c","-0.832","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1971","1971","°c","0.032","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1972","1972","°c","-0.014","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1973","1973","°c","0.188","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1974","1974","°c","0.318","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1975","1975","°c","1.099","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1976","1976","°c","0.47","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1977","1977","°c","0.283","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1978","1978","°c","-0.173","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1979","1979","°c","-0.64","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1980","1980","°c","-0.186","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1981","1981","°c","0.296","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1982","1982","°c","0.439","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1983","1983","°c","1.071","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1984","1984","°c","-0.11","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1985","1985","°c","-0.8","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1986","1986","°c","-0.007","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1987","1987","°c","-0.561","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1988","1988","°c","0.893","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1989","1989","°c","1.491","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1990","1990","°c","1.571","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1991","1991","°c","0.286","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1992","1992","°c","1.228","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1993","1993","°c","0.31","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1994","1994","°c","1.625","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1995","1995","°c","1.307","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1996","1996","°c","-0.699","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1997","1997","°c","0.558","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1998","1998","°c","1.153","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","1999","1999","°c","1.367","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2000","2000","°c","1.764","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2001","2001","°c","1.292","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2002","2002","°c","1.491","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2003","2003","°c","1.258","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2004","2004","°c","0.998","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2005","2005","°c","1.025","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2006","2006","°c","1.254","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2007","2007","°c","2.088","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2008","2008","°c","1.542","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.282","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2010","2010","°c","0.196","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2011","2011","°c","1.121","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2012","2012","°c","1.349","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.583","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.519","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.674","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.988","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.653","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.393","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.332","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.516","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.325","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1970","1970","°c","0.033","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1971","1971","°c","-0.519","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1972","1972","°c","0.012","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1973","1973","°c","0.332","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1974","1974","°c","0.034","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1975","1975","°c","-0.308","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1976","1976","°c","0.003","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1977","1977","°c","0.155","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1978","1978","°c","-0.15","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1979","1979","°c","0.305","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1980","1980","°c","0.401","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1981","1981","°c","0.072","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1982","1982","°c","-0.017","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1983","1983","°c","-0.135","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1984","1984","°c","-0.107","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1985","1985","°c","0.211","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1986","1986","°c","0.19","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1987","1987","°c","0.578","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1988","1988","°c","0.504","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1989","1989","°c","-0.018","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1990","1990","°c","-0.081","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1991","1991","°c","0.19","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1992","1992","°c","0.035","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1993","1993","°c","0.223","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1994","1994","°c","0.107","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1995","1995","°c","0.238","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1996","1996","°c","0.339","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1997","1997","°c","-0.064","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1998","1998","°c","0.614","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1999","1999","°c","0.468","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2000","2000","°c","0.35","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2001","2001","°c","0.473","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2002","2002","°c","0.827","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2003","2003","°c","0.665","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2004","2004","°c","0.545","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2005","2005","°c","0.567","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2006","2006","°c","0.638","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2007","2007","°c","0.607","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2008","2008","°c","0.263","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.134","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2010","2010","°c","1.129","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2011","2011","°c","0.365","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2012","2012","°c","0.516","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.451","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2014","2014","°c","0.53","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2015","2015","°c","0.711","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.088","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2017","2017","°c","0.966","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2018","2018","°c","0.874","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2019","2019","°c","0.802","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2020","2020","°c","0.52","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2021","2021","°c","0.733","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1970","1970","°c","-0.381","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1971","1971","°c","-0.334","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1972","1972","°c","0.227","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1973","1973","°c","0.325","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1974","1974","°c","-0.488","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1975","1975","°c","0.041","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1976","1976","°c","-0.506","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1977","1977","°c","-0.154","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1978","1978","°c","0.232","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1979","1979","°c","0.458","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1980","1980","°c","-0.206","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1981","1981","°c","-0.631","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1982","1982","°c","-0.041","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1983","1983","°c","0.107","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1984","1984","°c","-0.605","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1985","1985","°c","0.13","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1986","1986","°c","-0.686","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1987","1987","°c","0.326","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1988","1988","°c","-0.154","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1989","1989","°c","0.556","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1990","1990","°c","1.132","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1991","1991","°c","0.726","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1992","1992","°c","0.333","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1993","1993","°c","0.012","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1994","1994","°c","0.965","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1995","1995","°c","0.348","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1996","1996","°c","-0.127","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1997","1997","°c","0.454","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1998","1998","°c","1.199","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","1999","1999","°c","0.948","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2000","2000","°c","0.636","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2001","2001","°c","0.418","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2002","2002","°c","0.63","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2003","2003","°c","0.326","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2004","2004","°c","1.116","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2005","2005","°c","0.737","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2006","2006","°c","0.39","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2007","2007","°c","1.004","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2008","2008","°c","0.671","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2009","2009","°c","0.801","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2010","2010","°c","0.922","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2011","2011","°c","0.596","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2012","2012","°c","0.395","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.628","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2014","2014","°c","0.56","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2015","2015","°c","0.833","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.323","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2017","2017","°c","0.796","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2018","2018","°c","0.926","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.272","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2020","2020","°c","1.437","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.27","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","1992","1992","°c","0.359","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","1993","1993","°c","0.951","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","1994","1994","°c","0.572","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","1995","1995","°c","2.101","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","1996","1996","°c","0.808","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","1997","1997","°c","1.277","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","1998","1998","°c","-0.035","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","1999","1999","°c","0.413","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2000","2000","°c","1.319","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2001","2001","°c","0.813","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2002","2002","°c","1.589","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2003","2003","°c","0.992","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2004","2004","°c","1.397","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2005","2005","°c","1.702","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2006","2006","°c","0.551","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2007","2007","°c","2.49","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2008","2008","°c","2.223","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.192","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2010","2010","°c","0.88","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2011","2011","°c","1.704","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2012","2012","°c","1.933","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.166","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.753","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2015","2015","°c","2.246","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2016","2016","°c","2.459","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2017","2017","°c","2.127","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.043","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.178","E","Estimated value"
